Brand,Transcript,ad_length,brand,Estimated Ad Spend ($),Total Mentions,public_metrics.like_count,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.quote_count,public_metrics.bookmark_count,Total Engagements,Virality Score,Cost Per Engagement ($)
Little Caesars,all right little caesars crazy puffs whoa is this little music bey bir cake comes in it is so cut my dads eating crazy puffs again dont ask whoa have you tried the new bacon ones there are bacon ones pizza pizza,211,Little Caesars,12640000000,1580,9675,33305,779,180,463,44402,0.0355839827,284671.8616
MSC Cruises,an MSC Cruise isnt just a vacation its a holiday full of European style and all the things Americans love too come on Bloom I need some Buffalo Wings Stop there are a ton of football matches games football Music games what he said that is a big hat its American of course its big nobody puts baby in a corner no no she just wants to dance ready for some adrenaline Bloom how was boom ready holid how high is that so high holiday was that good dinner jacket dinner tshirt privacy privacy architecture architecture dude this a line gelato fro football football schedule okay now youre just doing it on purpose what a vacation dont you mean holiday my bad we should stop now yeah,676,MSC Cruises,2600000000,325,748,5519,147,24,128,6566,0.0494974109,395979.2872
Meta,hey meta what is this artwork comedian by Mauricio Catalin worth 62 million what what thats a 62 million banana are you kidding we need to find you another banana bananas bananas gentlemen what a place you have who eats art think youre supposed to say hey meta like hey meta who eat artart and then meta would say Chris PR hey meta call my lawyer,346,Meta,9392000000,1174,2776,547783,362,18,145,551084,0.002130346735,17042.77388
NerdWallet,the beluga whale has the IQ of a human genius hey Richard got your phone do you just say my name uh yes I said your name cuz Im a genius were you not paying attention man can I get my phone back want to know what else is genius finding the write credit card with nerd wallet they do the research so you dont have to pretty cool huh wait you use credit cards we dont Richard but you do,384,NerdWallet,792000000,99,702,7212,32,3,13,7962,0.01243406179,99472.49435
Michelob Ultra,Well do two Michelob ULTRAs Excuse me would you consider playing us For the ULTRAs Oh were kinda at a high level Fascinating You guys sure you want this Please serve That was fun Play you for those ULTRAs Theyve got ULTRAs You know were professional athletes right What sport AHH I Smell ULTRA Play you for an ULTRA,315,Michelob Ultra,58880000000,7360,15179,217504,17815,290,140,250928,0.02933112287,234648.983
Mountain Dew,Mountain Dew Baja Blast Citrusy Ahhhh Woah Baja Baja Baja Baja Baby I compare it to a kiss from a lime on the bay ooh the more I think of it its strange Im a seal yeah my flippers cant hold mountain dew what a shame grab a blast of tropical lime,245,Mountain Dew,800000000,100,94,13932,19,0,2,14047,0.007118957785,56951.66228
NFL,all right ready guys you guys got be loud though okay lets go lets go okay repeat after me yes sir I am I am somebody somebody I may be young I may be young but I am but I am somebody somebody I may be small I but I am but I am somebody my clothes are different my clothes are different my face is different my face is different my hair is different my hair is different but I am but I am somebody some I must be respected I must be respected protected protected never rejected never rejected but I am I am I am somebody some I am I am somebody I am I am somebody I am I somebody,579,NFL,72544000000,9068,285534,16573908,7613,6178,6570,16879803,0.000537210061,4297.680488
Nerds,the colors all around me so pretty in the sky I also on the fish of people going by and I think to myself What a Wonderful World when two great things combined Its a Wonderful World nerds gummy clusters unleash your senses,222,Nerds,1592000000,199,1921,42447,58,12,67,44505,0.004471407707,35771.26166
Nerdwallet,the beluga whale has the iq of a human genius hey richard got your phone do you just say my name uh yes i said your name cuz im a genius were you not paying attention man can i get my phone back want to know what else is genius finding the right credit card with nerdwallet they do the research so you dont have to pretty cool huh wait you use credit cards we dont richard but you nerds,386,Nerdwallet,792000000,99,885,7086,47,7,24,8049,0.01229966455,98397.31644
Novartis,wow I see you looking looking at me Isee you looking looking at looking at me that you get lift you get height you get power all eyes on me your attention please your attention please your attention please i steal the show and now you know Im going to keepon dancing so you can keep on glancin it aint my fault that I was made this way I see you lookin you looking at me Really lets go watch me watch me now Attention Lets start paying attention to breasts when it matters the most early detection for breast cancer is a gamechanger and why Im able to be here today so lets get more womens screened thanever before go to yourattentionpleasecom and take the first step,667,Novartis,3632000000,454,1895,17521,148,19,205,19788,0.0229431979,183545.5832
Poppi, right this second at some Diner somewhere Ill have a someone really wants a soda and theyre not alone cuz somewhere else theres a bunch of other some ones that are also thinking about soda like her hello are you okay Im thinking see but soda feels like a lot of sugar right now and these other drinks too much Buzz no flavor what if there were a better soda hurry up hey yo hun bestie okay Im going to freak out its a drivethru not a confession Booth show up a poppy please stop spiraling get a poppy get a poppy Dont Mind If I Do Pizza hello poppy oh yes what a lineup okay I mean a soda with 5 g of sugar its good right uhhuh it is good what,644,Poppi,3352000000,419,415,307098,130,5,9,307657,0.001361906279,10895.25023
Pringles,were out of Pringles just blow in the can do it Music it like to thank our Applause fans mustach mustach mustach Im just going to go to the store I think you got my I like it,174,Pringles,800000000,100,82,550,19,1,3,655,0.1526717557,1221374.046
Ram,Once upon a time there wasa girl with golden locks tape rewind You know whatmaybe it was like a a rugged woodsy dude Yeaahhh Too hard too soft too gags This goldilocks wanted something tastier Those look juuuuust right First he drove theRam 2500 Rebel to pick up some dinner thud dragon roars POW Mmmmmmmm Tastes like chicken Next he took the Ramchargerdeep into the woods to flex his artistic muscles eagle screech Then he fired up the Ram RHO for a little joy ride FREEEEEDOOOOOOM Uncle Glen What about the three bears This is my story But yeah the bears were there Papa Bear growls AhhhhhhMama Bear growls Ahhhhhh Baby Bear growls Ahhhhhh And they all livedhappily ever after sorta,684,Ram,4168000000,521,986,88190,65,9,24,89274,0.005835965679,46687.72543
Ritz,these are our people our salty Brethren you aint giving me exact change hes salty but Im the saltiest oh saltier than me when I smile people assume its a glitch please Im the human version of Monday why is RIT so good so annoying buttery salty showoffs I love them read the sign bunny youre going to get us kicked out so what better loved by everyone even the saltiest,368,Ritz,1728000000,216,186,38596,58,5,13,38858,0.005558700911,44469.60729
Rocket Mortgage,Lets get you home Almost heaven West Virginia Blue Ridge Mountains Shenandoah River Life is old there older than the trees Younger than the mountains growing like a breeze Thats my little man rightthere Thats your boy Yeah I cant wait to get there man Country roads take me home to the place I belong West Virginia mountain mama take me home country roads Take me home country roads,382,Rocket Mortgage,800000000,100,32,7854,10,0,0,7896,0.01266464032,101317.1226
Skechers,not a lot of people know about my side hustle male hand model and now I just discovered these relax fit handsfree Sketcher slipins comfy shoes with a little extra room you dont need your hands to put on I just step in and go with no bending down and no touching and to be honest I kind of love not using my hands come on Andy no one peels like you sorry bro Im out the game go handsfree with relax fit sketch or slipins,419,Skechers,800000000,100,177,1414,20,4,13,1628,0.06142506143,491400.4914
Squarespace,Cmere to me and get your Squarespace Squarespace Squarespace Squarespaceee Squarespace Squarespace Squarespace Squarespace Oh Squarespace Oh Websites OhOh sure it is Squaaaaaarespaaaaaace,187,Squarespace,1600000000,200,297,65396,12,0,35,65740,0.0030422878,24338.3024
Stella Artois,Mom Dad we have something to tell you you have a twin brother we never told you about oh sorry so whats his name other David you called him other David if theres two Davids one has to be other David where is he left him in America are you Beckham Dave Beckham no way hey what you say your name was Da try one of these that is the best buffalo wing in the county you eat buffalo no its just chicken it was invented in Buffalo the city so its not Buffalo you all right man still got it come on guys sorry its a thing I do you drink Stella I have taste David theres something I have to tell you my brother is a famous soccer player yeah so how famous are you like Matt Damon famous maybe Ben Affleck famous thats a shame,717,Stella Artois,1776000000,222,125,15860,29,0,2,16016,0.01386113886,110889.1109
Taco Bell,This is taco bells celebration of its fans Behold a bunch of random not famous people wait what sorry big guy wait but im Doja Cat yeah but celebs dont make Taco Bell fans do but I am a uh uh this is for our non famous fans so they can take shots of their moms how bout now yeah no taco Tuesday drop it Lebron ah come on its for you and you and you and you you you you you its all for you,388,Taco Bell,4208000000,526,22839,253705,289,142,580,277555,0.001895119886,15160.95909
Tubi,stream the Z suite on tube huh Im going to steal your job Z is out gen Z is in another thing ruined,99,Tubi,30632000000,3829,241626,5471912,4331,2876,5831,5726576,0.0006686368958,5349.095166
TurboTax, Why do we do thingsthe hard way Coming thru  Its so backwards  Its 2025 This is taxes And we still have to take amillion steps Issa Issa I got all your forms Ill take it from here Now taxes is gettinga TurboTax Expert who does everything for you So you can haveyour cake and you get it Now THIS is taxes Mmmthats a good metaphor right there,341,TurboTax,111592000000,13949,1241838,12225388,34559,27210,35076,13564071,0.001028378575,8227.028596
Uber Eats,look from the very beginning footballs been a conspiracy to make us hungry now let me tell you where it all started and well call this a pig skin make people crave bacon and everybody loves bacon I love bacon bacon bacon ever ask yourself how Buffalo got a team These Wings deserve a team yeah I fig out a good team name for Buffalo Bill uh buffalo buffalo they do anything to sell food do I have to be called refrigerator yes even Peyton was in on Omaha steak OHA steak theyre still at it this year we got a halftime show presented by an apple in a Stadium named after a salad Matthew yeah hey sorry sry you want me to make a movie about a football conspiracy come on Greta Bacons in Everybody Loves bacon No One Believes that football was invented to sell food when football makes you hungry order Uber Eats what,814,Uber Eats,800000000,100,36,43697,14,0,1,43748,0.00228581878,18286.55024
WeatherTech,got a motor rolling on the highway looking for adventure running B12 Bingo born to wild dont worry girls Ive got weather tech born to be wild for whatever comes your way theres a weather tech,191,WeatherTech,800000000,100,64,534,13,0,3,614,0.1628664495,1302931.596
